#,Traffic (desc),Traffic (Percent %),# of Keywords,Referring Domains,URL,Top Keyword,Its Volume,Position,Page URL inside,Traffic value
1,125580,2,6354,11220,https://www.gsmarena.com/,gsmarena,112000,1,,451777
2,115631,2,1098,519,https://www.gsmarena.com/samsung_galaxy_s9-8966.php,samsung galaxy s9,165000,1,,559427
3,93459,2,486,429,https://www.gsmarena.com/apple_iphone_xs_max-9319.php,iphone xs max,211000,1,,36
4,68451,1,179,396,https://www.gsmarena.com/samsung_galaxy_a50-9554.php,samsung a50,92000,1,,553
5,64777,1,684,522,https://www.gsmarena.com/apple_iphone_8_plus-8131.php,iphone 8 plus,191000,1,,526135
6,64077,1,1828,779,https://www.gsmarena.com/samsung_galaxy_s8-8161.php,samsung s8,66000,1,,292766
7,57624,1,620,294,https://www.gsmarena.com/google_pixel_3-9256.php,pixel 3,130000,1,,35507
8,56449,1,2004,667,https://www.gsmarena.com/samsung_galaxy_s7-7821.php,samsung s7,35000,1,,123081
9,54533,1,178,245,https://www.gsmarena.com/samsung_galaxy_a20-9640.php,samsung a20,109000,1,,1464
10,52671,1,802,301,https://www.gsmarena.com/google_pixel_2-8733.php,pixel 2,62000,1,,88103
11,45635,0.88,815,547,https://www.gsmarena.com/samsung_galaxy_s10-9536.php,samsung s10,176000,4,,118806
12,45302,0.88,196,245,https://www.gsmarena.com/google_pixel_3a-9408.php,pixel 3a,127000,1,,146
13,45009,0.87,409,91,https://www.gsmarena.com/lg_stylo_6-10255.php,stylo 6,71000,1,,31748
14,42304,0.82,46,163,https://www.gsmarena.com/sony_xperia_1-9543.php,sony xperia 1,56000,1,,14966
15,40900,0.79,768,480,https://www.gsmarena.com/samsung_galaxy_note9-9163.php,note 9,88000,1,,74473
16,40690,0.79,392,143,https://www.gsmarena.com/samsung_galaxy_a10e-9790.php,samsung galaxy a10e,119000,1,,3816
17,39943,0.77,215,224,https://www.gsmarena.com/google_pixel_4-9896.php,pixel 4,226000,2,,54872
18,37443,0.73,971,612,https://www.gsmarena.com/apple_iphone_8-8573.php,iphone 8,467000,5,,72313
19,34354,0.67,137,168,https://www.gsmarena.com/lg_v60_thinq_5g-10103.php,lg v60,401000,4,,211
20,33525,0.65,333,332,https://www.gsmarena.com/samsung_galaxy_note10-9788.php,note 10,178000,4,,44744
21,33525,0.65,141,148,https://www.gsmarena.com/motorola_moto_g7_power-9527.php,moto g7 power,64000,1,,444
22,32926,0.64,61,305,https://www.gsmarena.com/google_pixel_4a-10123.php,pixel 4a,686000,7,,272
23,32748,0.63,65,143,https://www.gsmarena.com/samsung_galaxy_a21-10172.php,samsung galaxy a21,30000,1,,16
24,32716,0.63,103,252,https://www.gsmarena.com/samsung_galaxy_a11-10132.php,samsung galaxy a11,36000,1,,136119
25,32275,0.63,673,518,https://www.gsmarena.com/samsung_galaxy_s9+-8967.php,samsung s9+,9600,1,,278
26,32011,0.62,994,348,https://www.gsmarena.com/compare.php3,compare phones,17000,1,,125243
27,31997,0.62,284,374,https://www.gsmarena.com/samsung_galaxy_s10e-9537.php,s10e,56000,1,,57
28,30401,0.59,71,295,https://www.gsmarena.com/samsung_galaxy_s20_fe_5g-10377.php,s20 fe,29000,1,,6
29,29948,0.58,1238,511,https://www.gsmarena.com/samsung_galaxy_note8-8505.php,note 8,70000,1,,79929
30,29904,0.58,427,458,https://www.gsmarena.com/samsung_galaxy_note10+-9732.php,note 10,178000,5,,19841
31,29868,0.58,460,538,https://www.gsmarena.com/samsung_galaxy_s10+-9535.php,samsung s10,176000,5,,35893
