Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
redmi note 8,1,1,2740000,63,0.03,https://www.gsmarena.com/xiaomi_redmi_note_8-9814.php,1287800,3.19,38634,1,71,"[55,45,82,100,100,82,67,55,37,30,24,16]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
redmi note 8 pro,1,1,1830000,58,0.3,https://www.gsmarena.com/xiaomi_redmi_note_8_pro-9812.php,860100,2.13,258030,1,69,"[55,82,100,82,82,55,45,36,30,25,20,20]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
realme 6pro,1,2,1500000,57,0.01,https://www.gsmarena.com/realme_6_pro-10114.php,705000,1.74,7050,1,72,"[45,100,100,100,82,55,36,25,20,20,13,11]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
vivo s1,1,1,1500000,53,0.1,https://www.gsmarena.com/vivo_s1-9766.php,705000,1.74,70500,1,88,"[45,82,100,100,82,67,67,54,45,37,30,30]",5/27/2021,"Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask"
vivo v20,1,1,1500000,51,0.07,https://www.gsmarena.com/vivo_v20-10435.php,705000,1.74,49350,1,68,"[0,1,1,1,1,5,100,82,67,55,45,45]",5/26/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
vivo v19,1,1,1220000,54,0.07,https://www.gsmarena.com/vivo_v19-10134.php,573400,1.42,40138,1,92,"[9,100,100,82,82,67,54,37,25,20,13,13]",5/26/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
poco x2,1,1,1220000,61,0.02,https://www.gsmarena.com/xiaomi_poco_x2-10050.php,573400,1.42,11468,1,68400000,"[37,82,100,82,82,54,45,30,25,30,20,16]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
gsmarena,1,1,673000,52,0.98,https://www.gsmarena.com/,538400,1.33,527632,0,43,"[55,82,100,100,100,100,100,82,67,82,67,82]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Tweet"
iphone 11 pro,1,2,1000000,68,0.06,https://www.gsmarena.com/apple_iphone_11_pro-9847.php,470000,1.16,28200,1,1710000000,"[82,100,100,100,100,82,100,82,67,55,45,45]",5/27/2021,"Top stories, Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask"
oppo a53,1,1,1000000,54,0.05,https://www.gsmarena.com/oppo_a53-10376.php,470000,1.16,23500,1,81,"[0,0,0,0,45,100,82,82,54,54,37,37]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
vivo s1 pro,1,1,823000,52,0.05,https://www.gsmarena.com/vivo_s1_pro-9972.php,386810,0.95,19340,1,90,"[55,82,100,100,82,82,67,55,45,37,25,25]",5/27/2021,"Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask"
iphone x,1,1,673000,70,0.1,https://www.gsmarena.com/apple_iphone_x-8858.php,316310,0.78,31631,1,3500000000,"[67,82,100,100,100,100,100,82,100,100,82,82]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
realme c11,1,1,550000,53,0.01,https://www.gsmarena.com/realme_c11-10308.php,258500,0.64,2585,1,80,"[0,0,6,100,82,67,67,67,45,37,25,25]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
redmi note 7,1,3,550000,54,0.06,https://www.gsmarena.com/xiaomi_redmi_note_7-9513.php,258500,0.64,15510,1,79,"[45,82,100,100,100,82,82,55,55,45,37,37]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
iphone 7,1,1,550000,70,0.03,https://www.gsmarena.com/apple_iphone_7-8064.php,258500,0.64,7755,1,3740000000,"[67,82,100,100,100,82,82,82,82,82,67,67]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
samsung a51,1,1,550000,45,0.05,https://www.gsmarena.com/samsung_galaxy_a51-9963.php,258500,0.64,12925,1,95600000,"[30,67,100,100,100,82,82,55,45,55,37,37]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
vivo y12,1,1,550000,50,0.1,https://www.gsmarena.com/vivo_y12-9729.php,258500,0.64,25850,1,94,"[30,55,82,82,100,67,45,37,30,25,25,25]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
redmi 7i,1,2,550000,55,0.01,https://www.gsmarena.com/realme_7i-10430.php,258500,0.64,2585,1,65,"[0,0,0,0,1,13,100,100,67,67,45,45]",5/26/2021,"Image pack, Reviews, Video Carousel, People also ask"
infinix hot 8,1,1,550000,48,0.03,https://www.gsmarena.com/infinix_hot_8-9856.php,258500,0.64,7755,1,87,"[45,82,100,100,82,67,67,55,45,37,30,24]",5/27/2021,"Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask"
samsung m31,2,3,1830000,54,0.06,https://www.gsmarena.com/samsung_galaxy_m31-10079.php,237900,0.59,14274,1,87,"[13,36,82,100,82,67,67,45,36,36,25,20]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
iphone 6,1,1,450000,57,0.09,https://www.gsmarena.com/apple_iphone_6-6378.php,211500,0.52,19035,1,86,"[55,67,82,100,82,82,82,67,82,82,67,67]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
realme x2,1,2,450000,55,0.01,https://www.gsmarena.com/realme_x2-9879.php,211500,0.52,2115,1,68,"[45,82,100,82,67,45,37,25,25,20,14,11]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
iphone 7 plus,1,1,450000,62,0.1,https://www.gsmarena.com/apple_iphone_7_plus-8065.php,211500,0.52,21150,1,3510000000,"[55,82,100,100,82,82,82,67,82,82,67,67]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
samsung a10,1,1,368000,56,0.06,https://www.gsmarena.com/samsung_galaxy_a10-9580.php,172960,0.42,10377,1,97,"[20,20,82,100,30,20,67,20,20,2,3,9]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
oppo a5 2020,1,1,368000,46,0.03,https://www.gsmarena.com/oppo_a5_(2020)-9883.php,172960,0.42,5188,1,70,"[45,67,82,82,100,67,45,37,30,25,20,20]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
samsung s20,1,3,368000,70,0.07,https://www.gsmarena.com/samsung_galaxy_s20-10081.php,172960,0.42,12107,1,85,"[37,67,100,100,67,45,67,55,45,45,30,30]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
redmi note 5 pro,1,2,368000,51,0.01,https://www.gsmarena.com/xiaomi_redmi_note_5_pro-8893.php,172960,0.42,1729,1,77,"[55,82,100,100,100,82,82,67,67,67,45,45]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
iphone 6s,1,1,301000,57,0.09,https://www.gsmarena.com/apple_iphone_6s-7242.php,141470,0.35,12732,1,89,"[45,67,82,100,100,82,82,67,67,67,55,55]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
samsung m30s,1,1,301000,52,0.03,https://www.gsmarena.com/samsung_galaxy_m30s-9818.php,141470,0.35,4244,1,92,"[45,82,100,82,55,37,20,13,13,13,9,9]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
oppo a9,1,1,301000,44,0.11,https://www.gsmarena.com/oppo_a9_(2020)-9819.php,141470,0.35,15561,1,70,"[30,55,67,82,100,55,45,37,25,25,16,16]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
samsung galaxy m31,1,2,301000,52,0.06,https://www.gsmarena.com/samsung_galaxy_m31-10079.php,141470,0.35,8488,1,30100000,"[20,45,82,100,82,55,45,37,25,25,16,13]",5/26/2021,"Top stories, Image pack, Site links, Reviews, Video, Shopping ads, Video Carousel, People also ask"
vivo v20 pro,1,1,301000,50,0.06,https://www.gsmarena.com/vivo_v20_pro-10462.php,141470,0.35,8488,1,73,"[0,0,0,0,0,3,25,37,100,67,55,67]",5/26/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
mi note 8,1,3,301000,57,2.58,https://www.gsmarena.com/xiaomi_redmi_note_8-9814.php,141470,0.35,364992,1,73,"[67,100,100,100,67,45,30,20,16,16,11,9]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
